Tangled,,2010,100,PG,260000000,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,200807262,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,English,USA
Harry Potter and the Half-Blood Prince,7.5,20h09,153,PG,250000000,Adventure|Family|Fantasy|Mystery,301956980,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,English,UK
Superman Returns,6.1,2006,169,PG-13,209000000,Action|Adventure|Sci-Fi,200069408,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,,USA
Pirates of the Caribbean: At World's End,7.1,2007,169,PG-13,300000000,Action|Adventure|Fantasy,3g09404152,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,English,USA
The Dark Knight Rises,8.5,2012,164,PG-13,250000000,Action|Thriller,448b130642,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,English,USA
