Spider-Man 3,6.2,2007,156,PG-13,258000000,Action|Adventure|Romance,336530303,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,English,USA
Avengers: Age of Ultron,7.5,2015,141,PG-13,250000000,Action|Adventure|Sci-Fi,458991599,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,English,USA
Batman v Superman: Dawn of Justice,6.9,2016,183,PG-13,250000000,Action|Adventure|Sci-Fi,330249062,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,English,USA
Avatar,7.9,2009,178,PG-13,237000000,Action|Adventure|Fantasy|Sci-Fi,760505847,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,English,USA
Spectre,6.8,2015,148,PG-13,245000000,Action|Adventure|Thriller,200074175,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,English,UK
